price_juta,surface_area,building_area,bed,bath,carport,district,city,description,url
756.0,104,60,3,1,2,Ngaglik,Sleman,"Rumah Murah Di Palagan Ngaglik Sleman, 8 Menit Ke Sch",https://www.rumah123.com/properti/sleman/hos17161570/
1300.0,320,142,5,6,1,Ngemplak,Sleman,Rumah Etnik Siap Huni Full Furnished Dekat Wisata Candi,https://www.rumah123.com/properti/sleman/hos17161538/
850.0,80,85,3,2,2,Kasihan,Bantul,Rumah Baru Siap Huni 2 Lantai Di Bugisan Kasihan Bantul Dekat Wirobrajan,https://www.rumah123.com/properti/bantul/hos17161520/
1290.0,99,105,4,3,1,Banguntapan,Bantul,RUMAH MODEL KLASIK MODER di Jl. Ngipik Pasar Ngipik 2 Lantai,https://www.rumah123.com/properti/bantul/hos17142456/
2700.0,267,180,3,2,2,Ngaglik,Sleman,Rumah jalan lempongsari cocok buat usaha,https://www.rumah123.com/properti/sleman/hos17161493/
1780.0,118,160,4,3,2,Depok,Sleman,Rumah Mewah Dekat Kampus Ugm di Maguwoharjo Dalam Ringroad,https://www.rumah123.com/properti/sleman/hos16979973/
1250.0,105,160,3,3,1,Mlati,Sleman,Rumah Mewah 2 Lantai Di Belakang Hotel Hyatt Mlati Sleman,https://www.rumah123.com/properti/sleman/hos17161453/
575.0,108,80,2,1,1,Kalasan,Sleman,Rumah Baru Siap Huni Dekat Lpmp Selomartani Kalasan Sleman,https://www.rumah123.com/properti/sleman/hos17161450/
775.0,118,100,2,2,1,Gamping,Sleman,Rumah Bagus Unfurnished Dekat Kampus Gamping Sleman,https://www.rumah123.com/properti/sleman/hos17150734/
575.0,101,80,3,2,1,Kalasan,Sleman,Rumah Siap Huni Di Tirtomartani Kalasan Sleman Dekat Kantor Lpmp,https://www.rumah123.com/properti/sleman/hos17161404/
785.0,115,60,3,2,1,Ngemplak,Sleman,Rumah Siap Huni Di Wedomartani Dekat Ngaglik Sleman Yogyakarta,https://www.rumah123.com/properti/sleman/hos17161402/
2450.0,150,200,8,5,2,Depok,Sleman,Kost 8 kamar + Rumah Induk area Seturan,https://www.rumah123.com/properti/sleman/hos17161375/
1850.0,147,120,4,3,1,Tegalrejo,Yogyakarta,Rumah 1 Lantai Komplek Perum Dekat Edu Park Jl. Jambon,https://www.rumah123.com/properti/yogyakarta/hos17150897/
900.0,98,100,3,3,1,Banguntapan,Bantul,Rumah Siap Huni 2 Lantai Di Timur Pasar Kotagede Di Baturetno Banguntapan Bantul,https://www.rumah123.com/properti/bantul/hos17161366/
750.0,130,60,3,2,2,Sleman,Sleman,Rumah Modern Smart Home Furnished Dekat Pemda Sleman Di Triharjo Sleman,https://www.rumah123.com/properti/sleman/hos17161363/
2800.0,140,195,7,3,2,Depok,Sleman,"Rumah Kos 2 Lantai Furnished Shm Dekat Kampus Ugm Jl. Kaliurang Km 4,5 Jogja",https://www.rumah123.com/properti/sleman/hos17150947/
2800.0,154,230,4,4,2,Ngaglik,Sleman,Rumah Modern Baru jalan Damai jakal km. 8,https://www.rumah123.com/properti/sleman/hos17161328/
